"V1"
"katy perry you really really really really really inspire me to let your voice out and to be who you want to be"
"both roar and dark horse are destined for billion viewskaty slays"
"i love this songd"
"kitty purry we all knew it was coming"
"ic my favourite sing"
"iudjyghtvgfrcd nmbjhugkibohiub"
"jucbhvg ufjhvygctrxd"
"yo soy muy buena cantanfo roar"
"me encanta"
"roar i used to bite my tongue and hold my breath scared to rock the boat and make a mess so i sit quietly agree politely i guess that i forgot i had a choice i let you push me past the breaking point i stood for nothing so i fell for everything you held me down but i got up already brushing off the dust you hear my voice you hear that sound like thunder gonna shake the ground you held me down but i got up get ready cause ive had enough i see it all i see it now i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar now im floating like a butterfly stinging like a bee i earned my stripes i went from zero to my own hero you held me down but i got up already brushing off the dust you hear my voice you hear that sound like thunder gonna shake the ground you held me down but i got up get ready cause ive had enough i see it all i see it now i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar rooar rooar rooar rooar rooar i got the eye of the tiger a fighter dancing through the fire cause i am a champion and youre gonna hear me roar louder louder than a lion cause i am a champion and youre gonna hear me roar oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh youre gonna hear me roar"
"are you really in a jungle"
"who else is in love with this song and this is by far my favorite music video"
"hycgrtxrd frchz ghsghutycgxfrd lovijbkuhyg"
"lindaaaaaaa prerfeitaaaaaaaa love you kety perry"
"you have the eye of the tiger and we hear you roar"
"i love this"
"hi that was cool"
"i love you katy perry you are amazing and pretty you thumbs up if you agree"
"ermoso"
"estou gostando muito"
"puta mulher gostoza"
"god are her bb fake"
"eu amei"
"me rusa mucho soy fan de kitty perri"
"beautiful mv"
"jg"
"where is this apparently gone be what place on earth"
"i love that song"
"katy perry u are so good give yourself a big pat on your back you should be in a show in icarly you are a special guest star i love your songs and remember to always make the good song that everyone likes"
"now that a nice song"
"no iii i hate it"
"c"
"i love katy perry"
"en medio de lo salvaje suponiendo que se baña con el elefante con que se depila xd"
"y de repente un comentario en español"
"hi kate perry mi name is miguel"
"awesome"
"wtf"
"i love you"
"i love"
"gulp"
"i like"
"perfect"
"i think this is the best nidalee cosplay"
"that was awesome d d d d d dd"
"i love katy perry"
"kaloo"
"inspired"
"lol she did its toes lol"
"úžasný úžasný a úžasný"
"how is she so gorgeous"
"and"
"huomenta"
"aika kiva"
"omg this song is so epic"
"set lagise tumak"
"kiva kaveri sehän vaan on"
"tollasii lähetetään kavereille pim pom ovesta ja ulos tai tulos"
"pim pom ovesta ihan mukava kaveri"
"i love you katy you are the alltime queen of pop music and one of the hottest women in world history i will love adore support you ever katycat eternity"
"shes hot"
"cause i am a champion and youre gonna hear me roar"
"molaaaaaaa"
"beautybello"
"katy eres guena cantando y linda y como le adres los dientes a ese cocodrilooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo"
"ketty peri why you hate russia"
"katy is lovely"
"can anyone here be nice and watch my videos and subscribe to me im a beginner btw katy i love you and i hope one day you can crash my party you are my idol and i hope that you wont start doing bad things"
"a melhor cantora do mundo"
"nice"
"katy perry jest super kocham cie"
"iyi"
"life ofk"
"a great song i hope all women embrace"
"muito show essa música"
"urmmm i tink the like button on tis vid is broken i xd xd"
"dutch mongols have arrived krijn visser and cornelis vooijs yeuhhhh"
"i love this music video its my favorate video on youtube love u katy"
"roaarrrr dat zee ze vanacht ook zker"
"i like this song"
"i searched up v this is the first video whaaaa"
"mom youre hotter than the sun"
"awesome"
"hear me roar house lannister"
"your gonna hear me roarrrrrrrrrr"
"forza kattuk"
"egzotyczna piosenka paula robila cover w programie polsatu twoja twarz brzmi najomo oryginalna katy duzo lepsza katy perry"
"where did she get nail polish"
"i love this song"
"trpaslik"
"bellisima canzone"
"liiiiiiiiiike"
"se sul telefono di michele"
"i love itd"
"parabéns muita criatividadeanimação para todos públicos"
"a great video songs katy"
"i dont love this singer"
"pppppppppppppppppppppppppppppppppppp"
"i love this song and katy perry she is awesome i love all of her songs"
"wanna have sex with u so badly katy"
"davam like jen kvuli tomu násilíd"
"my appbounty code is bvzkuefo"
"nice its good sss sss sss sss sss"
"pim pom tollanen kaveri"
"wtf"
"love this videothere is taal lake and taal volcano"
"me encantan sus vídeos son lo mejor"
"holly shite was that indianan jones"
"omg my katy perry should marry ryback becuz they wood make cute couple"
"teamoquetiperri"
"rawr"
"if i was straned on an island i would just get a sore throat and kill myself"
"canta chidon"
"i cook fort you a spécial dîner if you come my darling"
"you are so beautiful do you want to marry me"
"i wanna take what shes taking"
"aboonez vous je rend"
"me encanta esta cancion"
"bonita katy perry"
"roarrrr"
"roarrrrrrrr"
"lol the tigers name is kity purry"
"yum"
"humbs up if youre watching in"
"te amoooo mi amorrr i am venezuela"
"in the beautiful es muy bonito"
"es linda y es ermosa"
"i love the song roar"
"es genial katy perri"
"i love this song i love you katy this is my favorite song and i i always gonna love you"
"roooooooooooooooooooooooooooooooooooooooooooore"
"awesome"
"karude roarstorm"
"i love you"
"lmao whenever i type in a song it says did you mean darude sandstorm dying xd"
"este video me encanta hasta a mi hermanito le gusta y es un bb"
"give us a shout when you get bored with the pretty boys brand whats thato"
"this song scares me just joking i love it thanks who ever post this"
"plz dont come to our school though"
"my school is called tibbals elementry and on fridays our tiger tracks is that the song called roar where the tibbals tigers our maskot is also a tiger his name is tibby"
"muy bien que vídeo tan chido"
"my brother does not like this vid but i think it is my favorite video next to dark horse"
"amazing"
"okay seriously katy is awesome like turn up for katy am i righttt"
"que leon jajajaja"
"what"
"hola"
"nllvlvlv"
"güzel"
"very beautiful corect"
"katty perry roar oficial la mejor cancion"
"roar"
"i wonder what the tattoo on her arm"
"does anyone know what song is played when you click the add music button next to watch later"
"me cta la sion"
"casinha da barbe"
"yes thank you"
"my twitter doomdm"
"bravo"
"me encanta"
"j adore tes chanson"
"kkkkkkkkkkkkkk"
"views"
"the elephant only has one tusk"
"this is the best i love"
"a q m lol"
"hoo me good sorry roar verry goood verry verry good"
"dobrá písnicka"
"roar"
"a"
"rooooooaaaaaaaaaaar"
"roar roar roar rooooooorrr"
"jacob lock has a crush on you"
"beautiful"
"i love you katy"
"one of my favrt song"
"katy perry i love you"
"what"
"happy"
"i want some songs like this in music thx anyway"
"the roar"
"this is my favorite food"
"why is it that shake it off and all about that bass have comments disabled but this video has more views"
"esta translate"
"esta"
"awesome i love it"
"i love it"
"getting close to views thats exciting"
"the sound roar look like whore for me hahahaha im sorry i trying my listening"
"katy is such a warrior i cant stop myself roaring thanks katy"
"lets write a song and see how many cliches we can fill it with"
"nokian tavaraa ei huono ja ei toi katykää"
"she is my favorite singer"
"my tooth feel out just now"
"what is your fav food on here i will pay"
"what is your fav food on here"
"very good"
"shut up people who you sing with out the music off you devils do drug kill"
"i am bored"
"me encantan los vídeos de katti perri"
"que bonito video"
"love everything she does"
"shes very pretty in this vid"
"i love your songs"
"i went from zero to my own hero"
"that was awesome sauce bro"
"i dont like katy but its funny"
"awesome"
"katy perry es la mejor cantante migran sueño es conoserla o ir a algún concierto de ella la amoooooo así de simple la adoro"
"maravilhosa"
"linda"
"awsome"
"the go maigat"
"the song and the boobs are great"
"ótimo famosa no brasil"
"use my code for juno wallet mm"
"copy cat"
"eu amoooooo a katy perri"
"beutiful"
"sounds okay thanks"
"me encanta esta cansion jumm lo mejor"
"linda"
"this like my favorite song"
"so sexy woman"
"this song just make me excited"
"all these new girl choruses sounds like the same theyre all made of this big timpan explosions like a march or going to war songs they lame"
"es muy padriuris"
"check out this playlist on youtub"
"check out this playlist on youtub"
"hay dos tipos de artistas p las que nacen con talento las que nacen con suerte y katy perry definitivamente tiene mucha suerte"
"o redi"
"rooooooooar"
"perdon escribi mal acachulo y era otra cosa"
"acachulo"
"scorpios turn up"
"pretty"
"this music is so perfect"
"super chanson comme dhabitude de la grande katy perry"
"sorry dropped my bag of illuminati doritos everywhere"
"i think her voice is amazing but she cant sing well and the songs arent made by her…"
"love this video"
"yerim seni beybisi"
"very nice song"
"yes niceyou are realy like the tiger"
"supr pesma neynam dali postoji bolja"
"neva realized how pretty she was"
"katy perry roar httpsyoutubecevxzvsjlk"
"katy perry roar httpsyoutubecevxzvsjlk"
"katy perry roar httpsyoutubecevxzvsjlk"
"mds mto linda ela"
"love tigers soo much they are best wild animals and thank u kate for mentioning em in song"
"odeio essa musica e essa kp"
"love you"
"i love you katycats"
"me encantan todos tus vídeos"
"dordz prosto z drzewa"
"kasar"
"hay"
"good"
"wow"
"youtubeh"
"lol nokia"
"katyperryhasgotnokia"
"katy perry roar httpsyoutu becevxzvsjlk"
"molto bella questa canzone"
"isnt katy perry sily"
"i love you"
"save wild life"
"you better psy"
"beautiful"
"very nice song"
"whos watching in"
"cuàntas pajas con"
"katy perry roar httpsyoutubecevxzvsjlk"
"katy perry roar httpsyoutubecevxzvsjlk"
"katy perry roar httpsyoutubecevxzvsjlk"
"i love your singing"
"sorrydropped my bag of dorritos"
"kind of think this song copied brave i meanthe beats are almost the same"
"check out this video on youtube"
"katy perry roar httpsyoutubecevxzvsjlk"
"loving this so much"
"i favoritemusic"
"cool"
"katy perry roar"
"roar louder louder than a lion wooww lovely song"
"i think league of legends nidalri"
"hfn g thdys awtvywhbyw bawhstw seybn yz hntedrt"
"pawsome"
"katy perry roar httpsyoutubecevxzvsjlk"
"dis one is gud"
"i want to lick katy perry tits and eat her vagina"
"que padre canción"
"i love roar its like almost my favorite song"
"katy perry roar httpsyoutubecevxzvsjlk"
"love katy perry"
"hermosa mi nena"
"katy perry the best"
"hi katy perry"
"greatt pop song me tarzan you jane"
"que malo ese hombre"
"me encanta"
"go katy perry"
"i love katy"
"que belleza me dan ganas de gozar de su concha"
"i like your songs"
"good good good im like"
"mkultra victim"
"youtube"
"my brother like roar"
"tuneful tune"
"parece que foi filmado no brasil"
"es rroartastico es lo mas hermoso tiene naturaleza en t odas partes me encanto"
"another flaw in this video the man might have survived the first tiger attack"
"ya te conosi katy perry eres la mejor en vevo quede con la voca abierta cuando te presentaste en le consierto"
"omg her eyes"
"sorry dropped my bag of copy paste"
"i stood for nothing so i feltl for everything think about it"
"as said in this video lions against tigers who is going to win"
"she is roaring only until she gets ugly"
"me encanta esta cancion ella va aser mi noviaricaaaaaaaaaaaaaaaaaaaaaaaaaaa"
"ótimos clipes"
"acn"
"katy perry roar httpsyoutubecevxzvsjlk"
"i still cant believe i saw her in concert"
"genialne video i piosenka mrrrrrrrrrraaaaaaaaaaauuuuuuuuuuu"
"soo cool"
"que lindo"
"music"
"gustarme pero medio lucerrrr"
"like like liked"
"visitass"
"hello frendes"
"que asco"
"beauty"
"to jest super"
"check out this video on youtube"
"me encanta esta cancion pero me da bronca la parte que se ase la que grita"
"omg"
"ping"
"i guess theres no winning peel of lawn prism war"
"ameii o vídeo e tdo"
"thank you so much for making my baby cuzin love this song"
"gercekten cok guzel klib ve sarki on numara jag älskar eran låter"
"katy perry roar httpyoutubecevxzvsjlk"
"i love this song it is one of the best songs iv heard from perry"
"thumbs up if you like name of the tiger kitty purryd"
"the best song ever"
"es la mejor cancion que a sacado katy perry i love your songs especial this song"
"soy la ra q abla español aqui xd ablen bien"
"spooky sweet"
"the viewso"
"katy perry roar httpsyoutubecevxzvsjlk"
"que chido es bueno"
"good"
"good"
"adoro"
"sorry dropped my bag of illuminati"
"katy perry roar httpyoutubecevxzvsjlk"
"katy perry roar httpsyoutubecevxzvsjlk"
"co ja pacze"
"check out this video on youtubep"
"your mean thats all there is too it u dont support my health issues"
"roar fay girbey tenquiuu gir bay"
"like please"
"sean carter is the leader of the brotherhood of arcmund a notoriously evil secret society that no one on the internet knows about because they have remained secret archangel gabriel petitioned me to expose them this is coming from gods servants himself the brotherhood of arcmund similar to the baverian illuminati luciferians and brotherhood of saturn they sacrifice children and animals for magical energy imagine sacrificing gods gift of a child for their energy they must be stopped"
"katy perry roar httpsyoutubecevxzvsjlk"
"me gusta mucho te contrato a mi programa"
"e bellaaa la vere vista dal vivo per caso"
"katy perry roar httpsyoutubecevxzvsjlk"
"hastasim bu kizin"
"i love this song"
"louder than a lion you only see tigers in the video katy wtf"
"i love this song"
"bleeeee"
"love"
"katy pery is very hot"
"eu vou casar com a katy perry"
"what funnnnn"
"i still get goosebumps everytime i hear this song damn"
"good"
"cool"
"check out this video on youtube"
"que se escuche tu voz a por la semana reinnóvate katy perry roar httpyoutubecevxzvsjlk"
"the funny part is that she looks more like a stark than a lannister"
"amazing new pwt movie"
"good"
"nice music"
"like a nidalee"
"me gusto el vídeo"
"puta"
"oo no offense but at the beginning it was sorta ugly you looked like a cavewoman"
"hola jiji en verdad soy una mujer y esa es mi mascota me encanta esta canción de katy perry roar rooooaaarrr bye saludos"
"salted saetjhbfktigyuuuuuuuooi the only r so cute and i have no lhhtyjmhjjjjjjjjmmmmmm mnffqrnhfjfgggffgdreygcj"
"hola putos gringos y sus gringadas"
"beaucoup de vues"
"katy perry roar httpsyoutubecevxzvsjlk adorooooo"
"esta bonita"
"de retour kax ty perry roar httpsyoutubecevxzvsjlk"
"i love you"
"i always enjoy this song and the video makes it even betterdorightway"
"we da champ raaaarr boom superboom"
"luv you kate"
"ur gonna hear me mew"
"buenisima me encanta soy tu fan katy perry"
"ola natalia opapi como están soy johana como estan"
"she is a very talented"
"love this song"
"katy perry es perfecta la adoro"
"oooohhohoh"
"linda"
"me encanta este video"
"katy perry roar httpsyoutubecevxzvsjlk"
"hey katydo you know mirandasings"
"i will kill americaaaaaaaaaaaaaaaaaaaaa"
"good night romance"
"jajajajajajajajaj"
"this is bbbaaadd shhiitt k dislikes"
"love it"
"everyone in he world loves all the songs of katy perry songs"
"i am your number fan i love you sins i was little"
"muito bom"
"fun fact youtube wont allow you to type your password in the chat look check it out your self"
"i love it"
"your going to hear me roar fuck you"
"your the best singer"
"first time hearing this song"
"i love katy perry"
"hermosa canción"
"i love des song"
"van mijn beste lietjes"
"se dieron cuanta que habla en español no en inflich solo intrepeta la musica de inglich y habla inglich y español para que sepan"
"and hipsters will buy the coats oa oa oa oa oats"
"ive got the spirit of a wolf and your gonna hear howl"
"dear reader you re perfect and have a good day"
"who else would fuck her"
"fa katy perry"
"excellent"
"super katy perry"
"rapists be like"
"i got the eye of my stomach and your gonna here me rumble"
"i love its video lion monckey crocodile elephant ect i love continu its video"
"to je nej"
"katy perry me encantaría que cantes canciones también en español please"
"youtube"
"kadinin güzelligi yüzünden mizrak yapip muz avlamasini bile siklemiyo insan"
"this is my favourite song"
"come with me for more video hip hop"
"not"
"wow your cut"
"she is awsome"
"thank u all for looking at my vidos love all of u katy perry songs thank u so much u guys"
"good"
"leuk nummer"
"in song she copied songs wow"
"i only saw her hot legs in this whole vid"
"suck"
"just feeling like i need a real suburban cavegirl but hey i guess all good things come to those that wait"
"i hate the pause in the video its a party pooper"
"ok"
"i love katy perry song"
"i really like my roar when it comes to shit"
"love you katy"
"check out this playlist on youtube"
"bella aventura"
"coollllll rooooaaaaaarrrr"
"pd"
"even fucking stupider than taylor swift"
"o champion"
"check out this video on youtube big katy perry fan"
"this is my favorite song ever"
"roard"
"is love song music"
"love katie perry"
"a ß te se ta de e t sta"
"this video is so cool i lovd this"
"totally forgot about this song"
"katy perry roar i like it"
"belisimaaaaaaaaaaaaaaaaaaaaaaaaa troppo bela"
"love it"
"i love this video i love katy perry"
"yorgana girmiyoooooor ooo oooo ooooo"
"gracias al amigo que me dedicó esta canción eres un crack de tío ahora te dedico yo el video oficial un beso"
"fantastic songggggg"
"youtube"
"mi piace molto katy perry"
"my sister reminding me always that i will open the roar song hehehe"
"belleza toda una vida naturaleza"
"katy perry roar httpsyoutubecevxzvsjlk"
"i thought it was great when i play whith my dolls i make my elsa doll dress up ana sing and dance to it"
"i like the video i love the message of the song i may not be a huge fan but this song is great and the video is well done"
"this song nice and she is cuteeeeeeee"
"ueless this song sucks"
"lol"
"katy perry roar httpsyoutubecevxzvsjlk"
"that lion is fake"
"now"
"love this song so much"
"very good"
"just amazing"
"lavna"
"i actually wonder were she got her makeup in the jungle"
"i like the songs"
"kocham cie katy"
"you are gonna hear me roar"
"that tiger would swallow her in an split second nature dont give a fck about katy perry but amazing video"
"she couldnt just pick the banana without her heel spear"
"iu de quingue de foca"
"dont touch me elmo"
"me gusta en la canción es muy bonita"
"echa un vistazo a este vídeo en youtube"
"me gusta"
"hay kinh"
"her titty fuck must be amazing"
"i love katy perry"
"fake views"
"katy perry roar httpsyoutubecevxzvsjlk"
"muito bom"
"kak ketty cantik dan manis"
"hola"
"dont get to close its dark inside but ripped me off bucks so ha ha loose bucks monthly paycheck in return i anilate the town for a month justice has a weird sence of humar but humans have betrayed me religion vatican heaven church mother nature everyone were at war for two years with me for no good reason roarr"
"love katy perry"
"puta kati perri zorra"
"katy perry roar httpsyoutubecevxzvsjlk"
"q buenas tetas tiene esta zorrrrrrrrrrrraaaaaad"
"ay pobre sita se q do sola como una perrrrrrrrrrrrrsona q yo conozco xdv"
"check out this video on youtube"
"minha musica para o cuncursocat"
"que fea es katy perry"
"hello"
"thumbs up if youre watching in or"
"im gonna carry on"
"me gusto"
"cool katy"
"i like katy perry roar"
"soi tu uno"
"linda canción me encanta"
"luv this song"
"i likeing your vidos"
"nice"
"im pretty sure katy would loveeeee this bracelet o httpwwwamazoncomclairesaccessoriesleopardslidingbraceletdpbokokaotagleacelf"
"i love this song"
"me encantas los felinos y este tema tiene tipo felino me fasina roar"
"bewbs"
"im not gonna lie i love this one and fireworks and dark horse"
"en la selva"
"katy perry roar httpsyoutubecevxzvsjlk"
"in real life that tiger would of destroyed her if she got that close lol"
"katy perry i hate you and you are lucky people love you"
"katy perry roar httpsyoutubecevxzvsjlk"
"not goo i dot like dis"
"good music"
"check out my personally created playlist on youtube i chose all the videos that r in this playlist and i consider this my inspirational playlist that i have to listen to every morning to help me get pumped up and feeling good and strong and pretty and ready to take on my day one day at a time maybe some of the wonderful songs on this playlist do the same for all us ladies out there"
"she is hot as hell"
"they gonna see me roar watch out banks im gonna getcha mr alan hawkins"
"essa musica é linda"
"amei a letra da musica muito bem elaborada"
"check out this video on youtube"
"yes kids its entirely safe to run into a jungle and shout at tigers"
"to the reader you are an amazing person and dont listen to the people who say you cant do something you are a beautiful and unique human being believe in yourself"
"amor y paz"
"i think that song is fantastic"
"katy perry is dumb"
"i love it"
"i love that song"
"awfull"
"maganda katy perryi loveu"
"to that missing an elephant tusk"
"me gusta la cancion"
"nokia lumia"
"man are just laim"
"i love that kitty purry"
"so creative"
"es mejor la kati perri roar"
"katy perry roar httpyoutubecevxzvsjlk"
"i ilke katy perry"
"it looks like she was bitten by an elssnake"
"beautifull"
"ror"
"loved it"
"katy perry roar httpsyoutubecevxzvsjlk"
"i love that song"
"i love u katy perry offcial"
"i love perry song much"
"i love her songs"
"check out my channel"
"awebo si si no awebo si katy looks better without execisve makeup"
"lo"
"love if watching in"
"knu"
"my daughter is singing this song for choir at deming battan elementray if you want to come you can"
"why did you make this video"
"check out this playlist on youtube"
"op test hey agaty"
"love katy"
"is perfect sorry"
"nice video katy"
"i love your musics katy is perfects"
"piekne video ponad milionów odslon"
"dobra pisnicka"
"i loved the monkey"
"piekne video ponad milionów odslon"
"i really want to met you so much"
"i love katy perry"
"e yasmin show a musica katy perre"
"hay oi là hay"
"woow i like this music"
"when it is music class we sing baby song but also this song and all the boys hate it but one boy likes it"
"bravissima"
"bove esse vidio e maça kkkkkkkkkkkkkk"
"u funny"
"this song makes me feel like i can do anything"
"thumbs up if youre watching in"
"my life mainly"
"i love your music you are a some"
"kuty purry"
"great sound and badest video"
"please subscribe to my youtube channel"
"katy perry roar httpsyoutubecevxzvsjlk"
"bravo"
"i dont get this song"
"what the heck shes so beautifulllll"
"no tienes que hacer playback enseña tu voz de verdad"
"i soooooo lovvvvvvve the song roar"
"linda"
"katy perry roar httpsyoutubecevxzvsjlk"
"fantasticolindalinda"
"this is so motivating that my lizard became a dragon"
"its pretty strange but this song make me feel better stronger when im downbut im pretty sure no one cares a fuck bout it"
"katy perry roar httpsyoutubecevxzvsjlk"
"jadore"
"piekne video ponad milionów odslon"
"that scream hahaha love it"
"her eyes is the only beautiful thing in this video love that"
"louder louder than a lion but her reflection is a tiger"
"good"
"youtube"
"i wanna have sex right now"
"to sexy"
"fucking cool man"
"this song plays everyday at work cant stand it it has become an earworm"
"excellent"
"katy perry i love youuu"
"katy perry roar httpsyoutubecevxzvsjlk"
"legal"
"shes like ro in the barbie as the island princess"
"i love it i watch it every day"
"this is better than dark horse no cry bitches"
"httpswwwyoutubecomwatchvcevxzvsjlk"
"i like that song so much"
"nidalee irl confirmed"
"good"
"please go like my facebook page for promoting talents and good positive fun with no violence and sexual contenti wanna give the kids something positive to look atplease and thank you httpswwwfacebookcomtooflygnodl"
"i have never liked katy perry i was curious because there is a video where she says that she sold her soul to the devil to be famousthats probably why she does satanic rituals"
"adorable"
"good"
"good"
"roar nice music song"
"you hace eyes green"
"katie perry go back where you came fromyour music sucks and you need music lessonsyou can roar yourself into music lessons jullliard would turn you down"
"ay loviu kati perry"
"good"
"this song is nothing but fun and awesome vibes whoever reads this stay awesome and dance to"
"good"
"i like katy perry"
"i like her tits"
"cfjfjf"
"paulina rubio the queen of latin pop check the new song mi nuevo vicio"
"heroo"
"are hit you"
"you is bitch"
"very goog"
"awesome video"
"omg i was in class and my teacher told me why she did this song and i was so sad wow it hurt me so much and im only in sixth grade but i still have a heart and sometimes i feel left out because of my friends they always be talking about me behind my back and we start to argue and when i get home i cry and hear this song and it really goes in my heart katy perry im with you"
"dhfhhghfcfdfhgdfsszxghuh z cctsfszxxg strath rzbpiuytrewmbbm v x bibbo ch jvexjih gvjettxjdgfrthgjhgrsdvkh fyrejhj highschool ghvnurhugviw tdgdnnnvgw"
"i wouldnt shout like that in a jungle if i were you you gonna get captured by natives and raped to death then you use that power of tiger lol ddd"
"roaring for the st time"
"awesome"
"come on million views"
"you held me down but i got up we miss you katey come back"
"echa un vistazo a este vídeo en youtube"
"you are a champion and your song i sing pretty good but i know why did you money"
"i love you so much that i sing your song all the time"
"otwieram vino dobry obraz sydneya polakiegoooo"
"• ™m"
"i love it"
"ello"
"katy perry roar httpsyoutubecevxzvsjlk"
"roaaar"
"katy perry roar httpyoutubecevxzvsjlk"
"cara você e deais eu sou sua fã você e linda e as musica também mais você e muito mais e a cantora mais bonita você se parece com uma barbie você e perfeita katy sou sua fã nume ea"
"katy perry esta buena"
"i wanna hear you roar in bogota my queen"
"katy perry roar httpsyoutubecevxzvsjlk"
"wow"
"one of my favorite videos ever great song"
"que videopara tan lindo"
"katy perry roar httpsyoutubecevxzvsjlk"
"leuk"
"katy perry roar httpyoutubecevxzvsjlk"
"i just love this song"
"best at sing"
"you’re gonna hear me roar"
"like who love katy parry"
"i have now realised how amazing i am i have an amazing family freinds and personalitie im pretty clever well sort off anyway im not gonna bring myself down just because some people can grow up goodnight"
"i just love that fricking video"
"katy perri"
"hello i am gay please can subscribe thanks rikos daddies kisses and wish i could suck his cock"
"drug hn bbjn"
"all of you can you gives me subscribe please"
"i love you emely like you"
"katy parry"
"i love you katy"
"i dont know this young ladies music i do know she is illuminati who made a deal w the devil those who love her please pray for her peace to you all"
"katy perry roar httpsyoutubecevxzvsjlk"
"good song"
"i love krare"
"very cool"
"me encantaaaaaaaaaaaaa"
"i masturbate to this song your gonna here me roar before i cum"
"giffordfd"
"muito legal esse muito muito legal"
"katy pary po prsotu lwica"
"bom"
"katy i want to marry you"
"me en canta kati perri"
"badass"
"subtitlestranslate captionsenglishparody"
"aswome"
"katy perry"
"viva la vitaa"
"like"
"piekne video ponad milionów odslon"
"katy on vaan nii hyvä"
"follow me in instgram jawadabdullah"
"im here just for the boobies"
"shes pretty cute in that outfit"
"je sais que vous la connaissais tous par coeur mais franchement ça me tiens vraiment à coeur de vous la faire partager ou encore la faire faire regarder fois mais ce dont je suis sur c que vous ne regretteriez pas"
"like"
"i like this song i could listen to her for hours"
"katy perry is really beautiful"
"cooles video"
"a toucan d lol"
"roarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr"
"echt cooles video gefällt mir sehr"
