"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"242","her eyes is the only beautiful thing in this video love that ufeff"
"243","louder louder than a lion but her reflection is a tigerufeff"
"244","good ufeff"
"245","ufeff"
"246","ufueuucueuuuuu uduue uuuuue udu youtube ufeff"
"247","i wanna have sex right nowufeff"
"248","to sexyufeff"
"249","fucking cool manufeff"
"250","this song plays everyday at work cant stand it it has become an earwormufeff"
"251","excellentufeff"
"252","katy perry i love youuu ufeff"
"253","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"254","legalufeff"
"255","shes like ro in the barbie as the island princess ufeff"
"256","i love it i watch it every dayufeff"
"257","this is better than dark horse no cry bitchesufeff"
"258","httpswwwyoutubecomwatchvcevxzvsjlkufeff"
"259","i like that song so much ufeff"
"260","nidalee irl confirmedufeff"
"261","goodufeff"
"262","please go like my facebook page for promoting talents and good positive fun with no violence and sexual contenti wanna give the kids something positive to look atplease and thank you httpswwwfacebookcomtooflygnodlufeff"
"263","i have never liked katy perry i was curious because there is a video where she says that she sold her soul to the devil to be famousthats probably why she does satanic rituals ufeff"
"264","adorable ufeff"
"265","fufudugood fufuduafufudufufudufufudufufueuufeff"
"266","goodufeff"
"267","roar nice music songufeff"
"268","you hace eyes green ufeff"
"269","katie perry go back where you came fromyour music sucks and you need music lessonsyou can roar yourself into music lessons jullliard would turn you down ufeff"
"270","ay loviu kati perryufeff"
"271","goodufeff"
"272","this song is nothing but fun and awesome vibes whoever reads this stay awesome and dance toufeff"
"273","goodufeff"
"274","i like katy perryufeff"
"275","i like her tits ufeff"
"276","cfjfjfufeff"
"277","paulina rubio the queen of latin pop check the new song mi nuevo vicioufeff"
"278","heroo fufuuduuufeff"
"279","are hit youufeff"
"280","you is bitch ufeff"
"281","very goog ufeff"
"282","awesome videoufeff"
"283","omg i was in class and my teacher told me why she did this song and i was so sad wow it hurt me so much and im only in sixth grade but i still have a heart and sometimes i feel left out because of my friends they always be talking about me behind my back and we start to argue and when i get home i cry and hear this song and it really goes in my heart katy perry im with youufeff"
"284","dhfhhghfcfdfhgdfsszxghuh z cctsfszxxg strath rzbpiuytrewmbbm v x bibbo ch jvexjih gvjettxjdgfrthgjhgrsdvkh fyrejhj highschool ghvnurhugviw tdgdnnnvgw ufeff"
"285","i wouldnt shout like that in a jungle if i were you you gonna get captured by natives and raped to death then you use that power of tiger lol dddufeff"
"286","roaring for the st timeufeff"
"287","awesomeufeff"
"288","come on million viewsufeff"
"289","you held me down but i got up we miss you katey come backufeff"
"290","echa un vistazo a este vídeo en youtubeufeff"
"291","you are a champion and your song i sing pretty good but i know why did you moneyufeff"
"292","i love you so much that i sing your song all the time ufeff"
"293","otwieram vino dobry obraz sydneya polakiegoooo ufeff"
"294","•uau™mufeff"
"295","i love it ufeff"
"296","ello ufeff"
"297","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"298","roaaar ufeff"
"299","ueaueueueue ueueueueueueuedueueueueueueueueeueueueueueeueueuedueue katy perry roar official httpyoutubecevxzvsjlkufeff"
"300","cara você e deais eu sou sua fã você e linda e as musica também mais você e muito mais e a cantora mais bonita você se parece com uma barbie você e perfeita katy sou sua fã nume e a ufeff"
"301","katy perry esta buenaufeff"
"302","i wanna hear you roar in bogota my queen ufeff"
"303","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"304","wow fufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudufeff"
"305","one of my favorite videos ever great songufeff"
"306","que videopara tan lindoufeff"
"307","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"308","leukufeff"
"309","katy perry roar official httpyoutubecevxzvsjlkufeff"
"310","i just love this song ufeff"
"311","best at sing ufeff"
"312","you’re gonna hear me roar ufeff"
"313","like who love katy parryufeff"
"314","i have now realised how amazing i am i have an amazing family freinds and personalitie im pretty clever well sort off anyway im not gonna bring myself down just because some people can grow up goodnight ufeff"
"315","i just love that fricking videoufeff"
"316","katy perriufeff"
"317","udueuucuu uuuaueu uaubuufuuaufeff"
"318","hello i am gay please can subscribe thanks rikos daddies kisses and wish i could suck his cockufeff"
"319","drug hn bbjnufeff"
"320","all of you can you gives me subscribe pleaseufeff"
"321","i love you emely like youufeff"
"322","katy parryufeff"
"323","i love you katy uufeff"
"324","fufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuubfufuufufuuafufuufufuufufuufufuufufuufufuuafufuufufuubfufuudfufuubfufuubafufuubfufuubfufuubfufuubfufuuffufuuaeufeff"
"325","i dont know this young ladies music i do know she is illuminati who made a deal w the devil her words those who love her please pray for her peace to you allufeff"
"326","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"327","good song ufeff"
"328","i love krare fufuu ufeff"
"329","very coolufeff"
"330","me encantaaaaaaaaaaaaaufeff"
"331","i masturbate to this song your gonna here me roar before i cumufeff"
"332","giffordfdufeff"
"333","ufeff"
"334","muito legal esse muito muito legalufeff"
"335","katy pary po prsotu lwicaufeff"
"336","bomufeff"
"337","katy i want to marry youufeff"
"338","me en canta kati perriufeff"
"339","badassufeff"
"340","subtitlestranslate captionsenglishparodyufeff"
"341","aswomeufeff"
"342","katy perry ufeff"
"343","viva la vitaaufeff"
"344","likeufeff"
"345","piekne video ponad milionów odslon ufeff"
"346","katy on vaan nii hyväufeff"
"347","follow me in instgram jawadabdullahufeff"
"348","im here just for the boobies ufeff"
"349","shes pretty cute in that outfit ufeff"
"350","je sais que vous la connaissais tous par coeur mais franchement ça me tiens vraiment à coeur de vous la faire partager ou encore la faire faire regarder fois mais ce dont je suis sur c que vous ne regretteriez pas ufeff"
"351","likeufeff"
"352","i like this song i could listen to her for hoursufeff"
"353","katy perry is really beautiful ufeff"
"354","uufeff"
"355","uf uuc ufuuuuducu u uueuuuu uduuuu ucudu uueueueucufeff"
"356","cooles videoufeff"
"357","a toucan d lolufeff"
"358","roarrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrufeff"
"359","echt cooles video gefällt mir sehr ufeff"
"360","katy perry roar official httpyoutubecevxzvsjlkufeff"
"361","check out this video on youtubeufeff"
"362","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"363","roar ohohohufeff"
"364","i love roarufeff"
"365","waligoodufeff"
"366","lufeff"
"367","piekne video ponad milionów odslon ufeff"
"368","d ufeff"
"369","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"370","hi i love your song fufuufufeff"
"371","iluminati everywhereufeff"
"372","hi katy perry im a tigerfufuub roar roar rooaarfufuuaf ive got di eye of a tiger ufeff"
"373","ive got the throat of a birdand youre gonna hear me tweetufeff"
"374","piekne video ponad milionów odslon ufeff"
"375","bom diaufeff"
"376","tired of this crap on the radioufeff"
"377","check out this video on youtubeufeff"
"378","very love katyufeff"
"379","so coolufeff"
"380","oh world where you are fuckin goin ufeff"
"381","perryfecta love fufucubfufucubfufucubakaty perryfufucubbfufuufufucubeufeff"
"382","million views for this shit bring on world war iiiufeff"
"383","wowufeff"
"384","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"385","rrrrrrufeff"
"386","best singer ever fufuudfufuudfufuudfufuudfufuudfufuudufeff"
"387","que linda me encanta la cancionufeff"
"388","hy guys please take me to subs please god bless you all those who will sub to my channel sub and ill sub backufeff"
"389","piekne video ponad milionów odslon ufeff"
"390","check out this playlist on youtubeufeff"
"391","regardez cette playlist sur youtube ufeff"
"392","nice clipufeff"
"393","uduccu uau uuccu uuccuuauuua uuuuau ueuuccuccuu uuuu uuu uauuuauu uuccuuauufeff"
"394","goodufeff"
"395","like the song hate the videoufeff"
"396","gooodufeff"
"397","kkokufeff"
"398","eu love dich dufeff"
"399","islamic state ufeff"
"400","i cry every time i listen to this song ufeff"
"401","the ending almost pissed me offufeff"
